"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Portio","","Data listing tests","0","0","2","0","0"
"Portio","","Registration tests","10","0","6","0","0"
"Portio","","Login tests","0","0","10","0","0"
"Portio","","Data input repeatedly and continuously from datasource tests","0","0","4","0","0"
"Portio","","Terms and conditions tests","0","0","4","0","0"
"Portio","","Data modifying tests","0","0","2","0","0"
"Portio","","Data input tests","2","0","16","0","0"
"Portio","","Data delete tests","0","0","2","0","0"
"Portio","","Data saving tests","0","0","2","0","0"
"Portio","","Pagination tests","0","0","2","0","0"
"Portio","","Logout tests","0","0","2","0","0"
